Código,Nome,Estado,Sigla Gênero,Gênero,Data de nascimento,Idade,Primeira legislatura
299,Jefferson Campos,SP,M,Masculino,26/10/1964,61,TRUE
300,Jhonatan de Jesus,RR,M,Masculino,03/09/1983,42,TRUE
301,Jilmar Tatto,PR,M,Masculino,25/06/1965,60,TRUE
302,João Carlos Bacelar,BA,M,Masculino,08/10/1972,53,TRUE
303,João Cury,SP,M,Masculino,22/10/1973,52,TRUE
304,João Daniel,SC,M,Masculino,22/08/1967,58,TRUE
305,João Leão,PE,M,Masculino,27/02/1946,79,TRUE
306,João Maia,PB,M,Masculino,20/09/1953,72,TRUE
307,Joaquim Passarinho,PA,M,Masculino,02/12/1961,63,TRUE
308,Jonas Donizette,MG,M,Masculino,25/06/1965,60,TRUE
309,Jones Moura,RJ,M,Masculino,16/06/1974,51,TRUE
310,Jorge Braz,MG,M,Masculino,13/07/1953,72,TRUE
311,Jorge Goetten,SC,M,Masculino,10/04/1962,63,TRUE
312,Jorge Solla,BA,M,Masculino,11/04/1961,64,TRUE
313,José Airton Félix Cirilo,CE,M,Masculino,21/02/1957,68,TRUE
314,José Guimarães,CE,M,Masculino,13/02/1957,68,TRUE
315,José Medeiros,RN,M,Masculino,19/03/1970,55,TRUE
316,José Nelto,MG,M,Masculino,19/09/1960,65,TRUE
317,José Priante,PA,M,Masculino,02/12/1963,61,TRUE
318,José Rocha,BA,M,Masculino,18/08/1948,77,TRUE
319,Joseildo Ramos,BA,M,Masculino,23/08/1957,68,TRUE
320,Josenildo,AP,M,Masculino,29/03/1973,52,TRUE
321,Josias Gomes,PE,M,Masculino,14/10/1956,69,TRUE
322,Josimar Maranhãozinho,CE,M,Masculino,13/11/1976,48,TRUE
323,Josivaldo JP,PA,M,Masculino,29/11/1983,41,TRUE
324,Juarez Costa,PR,M,Masculino,20/01/1960,65,TRUE
325,Julia Zanatta,SC,F,Feminino,20/03/1985,40,TRUE
326,Juliana Cardoso,SP,F,Feminino,22/10/1979,46,TRUE
327,Juliana Kolankiewicz,PR,F,Feminino,11/08/1979,46,TRUE
328,Julio Arcoverde,PI,M,Masculino,14/02/1966,59,TRUE
329,Júlio Cesar,PI,M,Masculino,25/08/1948,77,TRUE
330,Julio Cesar Ribeiro,SP,M,Masculino,24/02/1975,50,FALSE
331,Julio Lopes,RJ,M,Masculino,06/04/1959,66,TRUE
332,Júlio Oliveira,PI,M,Masculino,03/03/1974,51,TRUE
333,Juninho do Pneu,RJ,M,Masculino,23/10/1976,49,TRUE
334,Junio Amaral,MG,M,Masculino,30/06/1987,38,TRUE
335,Júnior Ferrari,PA,M,Masculino,13/07/1967,58,TRUE
336,Junior Lourenço,MA,M,Masculino,18/10/1978,47,TRUE
